x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,label
0.0,0.0,-0.04322248697280884,-0.02838367223739624,-0.07705402374267578,-0.08257663249969482,-0.09772861003875732,-0.13638442754745483,-0.11253798007965088,-0.17713230848312378,-0.06257379055023193,-0.1351972222328186,-0.06904792785644531,-0.1759142279624939,-0.05751383304595947,-0.12859374284744263,-0.05183720588684082,-0.11170405149459839,-0.03288865089416504,-0.13796699047088623,-0.038791775703430176,-0.1742597222328186,-0.034049034118652344,-0.11579269170761108,-0.03360593318939209,-0.1075708270072937,-0.004267692565917969,-0.13444936275482178,-0.008279144763946533,-0.17018187046051025,-0.009350478649139404,-0.11270862817764282,-0.00938558578491211,-0.09819167852401733,0.023335516452789307,-0.12707895040512085,0.018858253955841064,-0.15511554479599,0.013458430767059326,-0.11690360307693481,0.01260066032409668,-0.10106748342514038,A
0.0,0.0,-0.042463064193725586,-0.030037283897399902,-0.07588380575180054,-0.08585071563720703,-0.09629184007644653,-0.1393578052520752,-0.11241364479064941,-0.1793304681777954,-0.05976206064224243,-0.13590651750564575,-0.06777232885360718,-0.17666208744049072,-0.05629521608352661,-0.13123643398284912,-0.04976469278335571,-0.11443591117858887,-0.030712664127349854,-0.13855445384979248,-0.03784441947937012,-0.17511051893234253,-0.0325855016708374,-0.11607611179351807,-0.030460715293884277,-0.10795992612838745,-0.0023183822631835938,-0.1349879503250122,-0.007286190986633301,-0.1710696816444397,-0.008291482925415039,-0.11294597387313843,-0.0067018866539001465,-0.09812253713607788,0.025400876998901367,-0.12844491004943848,0.019714713096618652,-0.15686911344528198,0.014132499694824219,-0.11887174844741821,0.014826297760009766,-0.10392594337463379,A
0.0,0.0,-0.04171395301818848,-0.029669225215911865,-0.07565343379974365,-0.08511883020401001,-0.0971304178237915,-0.13826721906661987,-0.11279284954071045,-0.17893731594085693,-0.06098353862762451,-0.13664591312408447,-0.0685192346572876,-0.17794305086135864,-0.05698579549789429,-0.13135522603988647,-0.05053895711898804,-0.11383360624313354,-0.031954944133758545,-0.13932806253433228,-0.03850364685058594,-0.17635661363601685,-0.032969117164611816,-0.11718672513961792,-0.030821681022644043,-0.10798919200897217,-0.0033093690872192383,-0.13574403524398804,-0.007637143135070801,-0.17159557342529297,-0.00828021764755249,-0.1136355996131897,-0.006896793842315674,-0.09876811504364014,0.024877846240997314,-0.12882179021835327,0.02001953125,-0.1575613021850586,0.014625787734985352,-0.1196984052658081,0.0148543119430542,-0.10472524166107178,A
0.0,0.0,-0.04235333204269409,-0.02927953004837036,-0.07652854919433594,-0.0834035873413086,-0.09894895553588867,-0.13645601272583008,-0.11574071645736694,-0.17543166875839233,-0.06255525350570679,-0.13436824083328247,-0.06929874420166016,-0.17702502012252808,-0.05759894847869873,-0.13045763969421387,-0.052142560482025146,-0.11316287517547607,-0.0333256721496582,-0.13677287101745605,-0.03920900821685791,-0.1752690076828003,-0.0337977409362793,-0.11602914333343506,-0.033568739891052246,-0.10615646839141846,-0.004768252372741699,-0.13395583629608154,-0.008133113384246826,-0.17176330089569092,-0.008636236190795898,-0.11349385976791382,-0.00871652364730835,-0.09759354591369629,0.02331775426864624,-0.1278766393661499,0.018981516361236572,-0.15768951177597046,0.01431208848953247,-0.11913740634918213,0.013812601566314697,-0.10289406776428223,A
0.0,0.0,-0.0420035719871521,-0.02943587303161621,-0.07569867372512817,-0.08428740501403809,-0.09883260726928711,-0.1367400884628296,-0.11830270290374756,-0.17280060052871704,-0.06110095977783203,-0.1342867612838745,-0.06928831338882446,-0.17576593160629272,-0.05751049518585205,-0.13011950254440308,-0.051480650901794434,-0.11356425285339355,-0.032215893268585205,-0.1373072862625122,-0.039893388748168945,-0.17496353387832642,-0.03410625457763672,-0.11596876382827759,-0.03219705820083618,-0.10658180713653564,-0.0038004517555236816,-0.13436990976333618,-0.008723437786102295,-0.17242079973220825,-0.009260475635528564,-0.11385828256607056,-0.008068740367889404,-0.09762871265411377,0.02403467893600464,-0.12808746099472046,0.01865166425704956,-0.15691596269607544,0.013424456119537354,-0.1180611252784729,0.01342010498046875,-0.10189074277877808,A
0.0,0.0,-0.04228633642196655,-0.029311656951904297,-0.07753860950469971,-0.08575427532196045,-0.10182034969329834,-0.13888567686080933,-0.12201851606369019,-0.1735624074935913,-0.06242680549621582,-0.13520914316177368,-0.07006210088729858,-0.1762792468070984,-0.05839282274246216,-0.13141179084777832,-0.05262553691864014,-0.1145472526550293,-0.033612608909606934,-0.13861364126205444,-0.040268659591674805,-0.17522770166397095,-0.03474771976470947,-0.11704212427139282,-0.03314918279647827,-0.10658127069473267,-0.005179405212402344,-0.13574659824371338,-0.00882810354232788,-0.17323005199432373,-0.009854316711425781,-0.11505413055419922,-0.009199380874633789,-0.09727448225021362,0.02298557758331299,-0.12927305698394775,0.018745779991149902,-0.15928542613983154,0.012881636619567871,-0.12066763639450073,0.011992275714874268,-0.10331320762634277,A
0.0,0.0,-0.04233407974243164,-0.029356956481933594,-0.07675600051879883,-0.08498376607894897,-0.10063064098358154,-0.13732683658599854,-0.12097615003585815,-0.17106497287750244,-0.06108671426773071,-0.13357853889465332,-0.06830108165740967,-0.1737188696861267,-0.05694609880447388,-0.12834399938583374,-0.05133342742919922,-0.11230409145355225,-0.03238636255264282,-0.13670432567596436,-0.03897500038146973,-0.17429393529891968,-0.0335695743560791,-0.11532068252563477,-0.03192239999771118,-0.10561448335647583,-0.004231572151184082,-0.13386493921279907,-0.007979333400726318,-0.170915424823761,-0.008717715740203857,-0.11296951770782471,-0.007887184619903564,-0.09739530086517334,0.023579001426696777,-0.12784606218338013,0.019321978092193604,-0.15698546171188354,0.013745665550231934,-0.11848783493041992,0.013152718544006348,-0.1026461124420166,A
0.0,0.0,-0.04077506065368652,-0.029620826244354248,-0.07533258199691772,-0.08479100465774536,-0.0997469425201416,-0.1357324719429016,-0.11968201398849487,-0.16961485147476196,-0.05997389554977417,-0.13450342416763306,-0.06688690185546875,-0.17324519157409668,-0.05574065446853638,-0.128409743309021,-0.04996448755264282,-0.11272215843200684,-0.031248927116394043,-0.13794481754302979,-0.03752541542053223,-0.17356795072555542,-0.03273266553878784,-0.11547130346298218,-0.03129762411117554,-0.10560059547424316,-0.0029175877571105957,-0.13495033979415894,-0.006089329719543457,-0.17052096128463745,-0.007761120796203613,-0.11285656690597534,-0.007657229900360107,-0.09717786312103271,0.024978697299957275,-0.12829959392547607,0.021208882331848145,-0.1570206880569458,0.015158414840698242,-0.11834990978240967,0.013926386833190918,-0.10222399234771729,A
0.0,0.0,-0.04197204113006592,-0.02750486135482788,-0.07701492309570312,-0.08167409896850586,-0.1019824743270874,-0.1325136423110962,-0.12297111749649048,-0.16408544778823853,-0.06139850616455078,-0.13147568702697754,-0.06844401359558105,-0.17230349779129028,-0.05700671672821045,-0.12754970788955688,-0.05146801471710205,-0.11105602979660034,-0.032753050327301025,-0.13545477390289307,-0.039116859436035156,-0.17287284135818481,-0.03364020586013794,-0.11473643779754639,-0.03236103057861328,-0.10431796312332153,-0.004637956619262695,-0.13309729099273682,-0.007990479469299316,-0.1702454686164856,-0.008488297462463379,-0.113059401512146,-0.007948696613311768,-0.09696882963180542,0.02312403917312622,-0.12680363655090332,0.019271135330200195,-0.15650153160095215,0.014154970645904541,-0.11813491582870483,0.013472020626068115,-0.1014939546585083,A
0.0,0.0,-0.042076051235198975,-0.028635621070861816,-0.0776328444480896,-0.08399057388305664,-0.1037091612815857,-0.13230347633361816,-0.12614434957504272,-0.16125941276550293,-0.06200456619262695,-0.13198566436767578,-0.06913518905639648,-0.1726037859916687,-0.057547807693481445,-0.1291661262512207,-0.0520898699760437,-0.11015796661376953,-0.03351110219955444,-0.13613510131835938,-0.039269447326660156,-0.17191237211227417,-0.033197104930877686,-0.11424362659454346,-0.03228461742401123,-0.10221028327941895,-0.0052176713943481445,-0.13399571180343628,-0.008228957653045654,-0.17016607522964478,-0.008220911026000977,-0.11342877149581909,-0.008294641971588135,-0.09574109315872192,0.022680222988128662,-0.12797552347183228,0.019395053386688232,-0.1575506329536438,0.01440286636352539,-0.11922526359558105,0.01287144422531128,-0.10181748867034912,A
